Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
1,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
2,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
3,256,9.00000,0.64286,6.00000,1.20000,0.40712,0.40712
4,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
5,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
6,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
7,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
8,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
9,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
10,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
